zh_TW,zh-CN,en-En,en手動調整,th-TH,泰文字數,建議字數,jp-JP,日文字數,建議字數,kr-KR,韓文字數,建議字數,vn-VN,越文字數,建議字數,jsonKey
請輸入拒絕原因,,,,,,8,,,7,,,9,,,15,userManagement.a66
拒絕審核,,,,,,4,,,4,,,5,,,9,userManagement.a67
刪除出金帳戶,,,,,,7,,,6,,,8,,,13,"userManagement.a68,setting.deleteWithdrawalAccount"
"刪除該帳戶，將會導致用戶無法使用該帳戶出金。如用戶需要使用該帳戶出金，則需再次申請。\n\n
確定要刪除出金帳戶嗎？",,,,,,67,,,57,,,79,,,128,userManagement.a69
出金帳戶附加檔案,,,,,,9,,,8,,,11,,,18,userManagement.a71
交易細節,,,,,,4,,,4,,,5,,,9,userManagement.a73
浮動盈虧,浮动盈亏,Unrealised P/L,,กำไร/ขาดทุนลอยตัว,,4,浮かぶ利益と損失,,4,떠 다니는 이익과 손실,,5,Lãi lỗ biến đổi,,9,userManagement.a74
佔用保證金,,,,,,5,,,5,,,7,,,11,userManagement.a75
佔用保證金(含盈虧),,,,,,11,,,10,,,14,,,22,userManagement.a76
可用保證金,,,,,,5,,,5,,,7,,,11,userManagement.a77
入金總額,入金总额,Total Deposit,,ยอดเงินฝาก,,4,合計金額,,4,총 금액,,5,Tổng số nhập tiền,,9,userManagement.a78
出金總額,出金总额,Total Withdrawal,,ยอดถอนทั้งหมด,,4,金の総量,,4,총 금액,,5,Tổng số xuất tiền,,9,userManagement.a79
資金淨值,,,,,,4,,,4,,,5,,,9,userManagement.a80
延遲時間,,,,,,4,,,4,,,5,,,9,userManagement.a81
點差及手續費設定,,,,,,9,,,8,,,11,,,18,userManagement.a83
用戶層級列表,,,,,,7,,,6,,,8,,,13,userManagement.a85
出入金相關,,,,,,5,,,5,,,7,,,11,userManagement.a87
首次最低入金額度,,,,,,9,,,8,,,11,,,18,"userManagement.a88,depositWithdrawalManagement.a63"
最低入金額度,,,,,,7,,,6,,,8,,,13,"userManagement.a89,depositWithdrawalManagement.a64"
人工審核額度,,,,,,7,,,6,,,8,,,13,"userManagement.a90,depositWithdrawalManagement.a65"
入金手續費,,,,,,5,,,5,,,7,,,11,userManagement.a92
單筆最低取款金額,,,,,,9,,,8,,,11,,,18,"userManagement.a93,depositWithdrawalManagement.a91"
出金手續費,,,,,,5,,,5,,,7,,,11,userManagement.a97
強制平倉設定,,,,,,7,,,6,,,8,,,13,userManagement.a98
平日收盤前強平比例,,,,,,10,,,9,,,12,,,20,"userManagement.a99,paramManagement.weekdayMarketCloseRate"
假日收盤前強平比例,,,,,,10,,,9,,,12,,,20,"userManagement.a100,paramManagement.holidayCloseRate"
平時強平比例,,,,,,7,,,6,,,8,,,13,"userManagement.a101,paramManagement.weekdayCloseRate"
即將平倉通知比例,,,,,,9,,,8,,,11,,,18,"userManagement.a102,paramManagement.ClosePositionRate"
延遲下單時間,,,,,,7,,,6,,,8,,,13,userManagement.a104
單筆交易手續費,,,,,,8,,,7,,,9,,,15,userManagement.a105
高於,,,,,,2,,,2,,,2,,,4,userManagement.a106
手續費 ,,,,,,3,,,3,,,4,,,6,userManagement.a107
如欲調整比例及數字，請前往個別頁面設定。,,,,,,23,,,20,,,28,,,45,userManagement.a108
查看更多,,,,,,4,,,4,,,5,,,9,userManagement.a109
標籤名稱,,,,,,4,,,4,,,5,,,9,userManagement.a110
目前貼標人數,,,,,,7,,,6,,,8,,,13,userManagement.a111
新增時間,,,,,,4,,,4,,,5,,,9,userManagement.a112
選擇入金方式(可複選),,,,,,12,,,11,,,15,,,24,userManagement.a114
選擇出金方式(可複選),,,,,,12,,,11,,,15,,,24,userManagement.a115
已成功解除封鎖該用戶,,,,,,11,,,10,,,14,,,22,userManagement.a116
人工補入,,,,,,4,,,4,,,5,,,9,"setting.manualFillIn,depositWithdrawalManagement.a25"
入金方式列表,,,,,,7,,,6,,,8,,,13,"setting.depositMethodList,depositWithdrawalManagement.a59"
入金額度設定,,,,,,7,,,6,,,8,,,13,"setting.depositAmountSetting,depositWithdrawalManagement.a61"
出金方式列表,,,,,,7,,,6,,,8,,,13,"setting.withdrawalMethodList,depositWithdrawalManagement.a86"
一般設定,,,,,,4,,,4,,,5,,,9,setting.title
後台人員列表,,,,,,7,,,6,,,8,,,13,setting.staffList
權限群組設定,,,,,,7,,,6,,,8,,,13,setting.permissionGroupSettings
操作記錄,,,,,,4,,,4,,,5,,,9,setting.OperationRecord
多國語言設定,,,,,,7,,,6,,,8,,,13,setting.languageSettings
姓名,,,,,,2,,,2,,,2,,,4,setting.name
權限群組,,,,,,4,,,4,,,5,,,9,setting.permissionGroup
Email,Email,Email,,อีเมล,,5,Eメール,,5,이메일,,7,Email,,11,setting.email
最近登入時間,,,,,,7,,,6,,,8,,,13,setting.lastLoginTime
描述,,,,,,2,,,2,,,2,,,4,setting.description
禁止登入,,,,,,4,,,4,,,5,,,9,setting.disableLogin
恢復登入,,,,,,4,,,4,,,5,,,9,setting.restoreLogin
編輯權限角色,,,,,,7,,,6,,,8,,,13,setting.editPermissionRoles
新增權限角色,,,,,,7,,,6,,,8,,,13,setting.addPermissionRole
已送出邀請信件，請於信箱內確認,,,,,,17,,,15,,,21,,,33,setting.sendEMailSuccess
可登入,,,,,,3,,,3,,,4,,,6,setting.canLogin
未啟用,,,,,,3,,,3,,,4,,,6,setting.disabled
設定新密碼,,,,,,5,,,5,,,7,,,11,setting.setNewPwd
密碼強度不足，請至少輸入 {min} 個字元,,,,,,17 + ?,,,15 + ?,,,21 + ?,,,33 + ?,setting.pwdStrengthError
密碼不符合,,,,,,5,,,5,,,7,,,11,setting.notMatchPwd
已禁止該成員登入,,,,,,9,,,8,,,11,,,18,setting.disabledMemberLogin
"禁止登入後，成員將無法使用原帳號密碼登入，但其擁有的權限不會消失，將於恢復登入後還原。

確定要禁止該成員登入嗎?",,,,,,64,,,55,,,77,,,123,setting.disabledMemberLoginTip
已恢復該成員的登入權限,,,,,,12,,,11,,,15,,,24,setting.enableMemberLogin
"恢復登入後，成員將可以使用原帳號密碼登入，其擁有的權限將會一併還原。

確定要恢復該成員的登入權限嗎?",,,,,,57,,,49,,,68,,,110,setting.enableMemberLoginTip
群組名稱,,,,,,4,,,4,,,5,,,9,setting.groupName
新增權限群組,,,,,,7,,,6,,,8,,,13,setting.addPermissionGroup
帳號管理,,,,,,4,,,4,,,5,,,9,setting.accountManagement
權限管理,,,,,,4,,,4,,,5,,,9,setting.authorityManagement
支付管理,,,,,,4,,,4,,,5,,,9,setting.paymentManagement
產品管理,,,,,,4,,,4,,,5,,,9,setting.productManagement
匯率與貨幣設定,,,,,,8,,,7,,,9,,,15,"setting.exchangeRateCurrencySettings,paramManagement.exchangeRateCurrencySettings"
風險警告管理,,,,,,7,,,6,,,8,,,13,setting.riskWarningManagement
註冊及通知系統,,,,,,8,,,7,,,9,,,15,setting.registerNotificationSystem
讀取,,,,,,2,,,2,,,2,,,4,setting.read
列表,,,,,,2,,,2,,,2,,,4,setting.list
更新,,,,,,2,,,2,,,2,,,4,setting.update
功能列表,,,,,,4,,,4,,,5,,,9,setting.functionList
國家列表,,,,,,4,,,4,,,5,,,9,setting.countryList
新增國家,,,,,,4,,,4,,,5,,,9,setting.addCountry
更新國家,,,,,,4,,,4,,,5,,,9,setting.updateCountry
支付來源資訊,,,,,,7,,,6,,,8,,,13,setting.paymentSourceInformation
入金來源列表,,,,,,7,,,6,,,8,,,13,setting.depositSourceList
出金來源列表,,,,,,7,,,6,,,8,,,13,setting.withdrawalSourceList
新增入金來源,,,,,,7,,,6,,,8,,,13,setting.addDepositSource
新增出金來源,,,,,,7,,,6,,,8,,,13,setting.addWithdrawalSource
更新支付來源列表,,,,,,9,,,8,,,11,,,18,setting.updatePaymentSources
出金次數設定,,,,,,7,,,6,,,8,,,13,setting.withdrawalNumber
新增入金方式,,,,,,7,,,6,,,8,,,13,setting.addDepositMethod
新增出金方式,,,,,,7,,,6,,,8,,,13,setting.addWithdrawalMethod
更新出入金方式,,,,,,8,,,7,,,9,,,15,setting.updateDepositWithdrawalMethod
刪除出入金方式,,,,,,8,,,7,,,9,,,15,setting.deleteDepositWithdrawalMethod
訂單列表,订单列表,Order List,,รายการสั่งซื้อ,,4,オーダーリスト,,4,주문 목록,,5,Bảng liệt kê Đơn đặt hàng,,9,setting.orderList
鎖定訂單,,,,,,4,,,4,,,5,,,9,setting.lockOrder
審核確定,,,,,,4,,,4,,,5,,,9,setting.reviewConfirmed
出金審核,,,,,,4,,,4,,,5,,,9,setting.withdrawalAudit
出金訂單可用通道列表,,,,,,11,,,10,,,14,,,22,setting.availableWithdrawalChannels
入金訂單修改金額,,,,,,9,,,8,,,11,,,18,setting.modifyDepositOrder
強平平倉設定,,,,,,7,,,6,,,8,,,13,"setting.forcedLiquidationSettings,paramManagement.forcedLiquidationSettings"
資訊,,,,,,2,,,2,,,2,,,4,setting.information
審核,,,,,,2,,,2,,,2,,,4,setting.audit
出金帳戶列表,,,,,,7,,,6,,,8,,,13,setting.withdrawalAccountsList
審核出金帳戶,,,,,,7,,,6,,,8,,,13,setting.auditWithdrawalAccount
建立,,,,,,2,,,2,,,2,,,4,setting.establish
貨幣列表,,,,,,4,,,4,,,5,,,9,"setting.currencyList,paramManagement.currencyList"
匯率列表,,,,,,4,,,4,,,5,,,9,setting.exchangeRateList
新增匯率,,,,,,4,,,4,,,5,,,9,setting.addExchangeRate
更新匯率,,,,,,4,,,4,,,5,,,9,setting.updateExchangeRate
備註訂單,,,,,,4,,,4,,,5,,,9,setting.noteOrder
掛單列表,,,,,,4,,,4,,,5,,,9,setting.pendingOrderList
已平倉列表,,,,,,5,,,5,,,7,,,11,setting.closedPositionList
取得風險警告設定,,,,,,9,,,8,,,11,,,18,setting.getRiskEarningSettings
修改風險警告設定,,,,,,9,,,8,,,11,,,18,setting.modifyRiskEarningSettings
手續費新增,,,,,,5,,,5,,,7,,,11,setting.addedHandlingFee
手續費編輯,,,,,,5,,,5,,,7,,,11,setting.editingFee
手續費列表,,,,,,5,,,5,,,7,,,11,setting.feeList
手續費刪除,,,,,,5,,,5,,,7,,,11,setting.deleteFee
已平倉概況,,,,,,5,,,5,,,7,,,11,setting.closedPositionOverview
取得頻繁交易,,,,,,7,,,6,,,8,,,13,setting.getFrequentDeals
取得獲利異常,,,,,,7,,,6,,,8,,,13,setting.getProfitException
調整啟用,,,,,,4,,,4,,,5,,,9,setting.tweakEnabled
編輯內容,,,,,,4,,,4,,,5,,,9,setting.editContent
通知語系列表,,,,,,7,,,6,,,8,,,13,setting.noticeSeriesList
出入金管理,,,,,,5,,,5,,,7,,,11,depositWithdrawalManagement.a1
入金列表,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a2
刷新倒數 {參數} 秒,,,,,,5 + ?,,,5 + ?,,,7 + ?,,,11 + ?,depositWithdrawalManagement.a3
操作時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a13
回調時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a14
未支付,未支付,Unpaid,,ค้างชำระ,,3,未払い,,3,무급,,4,Chưa thanh toán,,6,depositWithdrawalManagement.a16
已支付,,,,,,3,,,3,,,4,,,6,depositWithdrawalManagement.a17
失敗,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a18
審核中,审核中,Under review,,อยู่ระหว่างการตรวจสอบ,,3,レビュー中,,3,검토 중,,4,Đang thẩm hạch,,6,depositWithdrawalManagement.a19
入金時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a20
鎖定人員,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a21
鎖定時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a22
審核確認,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a24
調整金額,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a26
人工補入金額,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a28
"選擇人工補入之後，系統將會重新確認該使用者的匯款資訊，並重新更新匯款狀態。\n\n
若使用者有確實匯款，也會一併更新帳戶餘額的顯示內容。\n\n
確定要人工補入嗎?",,,,,,94,,,80,,,112,,,180,depositWithdrawalManagement.a29
請輸入使用者的匯款金額，並再次確認使用者確實有匯入該筆款項。,,,,,,35,,,30,,,42,,,67,depositWithdrawalManagement.a30
確定要調整金額嗎?,,,,,,10,,,9,,,12,,,20,depositWithdrawalManagement.a32
入金審核確認,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a33
確定要審核該使用者的入金嗎?\n\n入金後無法取消或反悔，請再次確認金額無誤。,,,,,,46,,,39,,,54,,,87,depositWithdrawalManagement.a34
審核入金,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a35
請填寫備註,,,,,,5,,,5,,,7,,,11,depositWithdrawalManagement.a36
送出,,,,,,2,,,2,,,2,,,4,"depositWithdrawalManagement.a37,common.send"
出金列表,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a38
資金退回,资金退回,,,,,4,監査失敗,,4,감사 실패,,5,,,9,depositWithdrawalManagement.a43
審核失敗,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a44
出金完成,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a45
處理中,,,,,,3,,,3,,,4,,,6,depositWithdrawalManagement.a47
支付時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a48
拒絕,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a49
出金審核確認,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a50
"確定要審核該使用者的出金嗎?\n\n
出金後無法取消或反悔，請再次確認金額無誤。",,,,,,46,,,39,,,54,,,87,depositWithdrawalManagement.a51
出金金額,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a52
請選擇出金通道,,,,,,8,,,7,,,9,,,15,"depositWithdrawalManagement.a53,depositWithdrawalManagement.a75"
審核出金,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a54
拒絕出金,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a55
"確定要拒絕該用戶得出金嗎?\n\n
請填寫拒絕出金的原因，以便用戶後續再次申請。",,,,,,46,,,39,,,54,,,87,depositWithdrawalManagement.a56
入金設定,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a57
額度手續費設定,,,,,,8,,,7,,,9,,,15,depositWithdrawalManagement.a58
入金通道設定,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a60
幣值,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a62
手續費設定,,,,,,5,,,5,,,7,,,11,depositWithdrawalManagement.a66
規則,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a67
高於等於,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a68
手續費規則,,,,,,5,,,5,,,7,,,11,depositWithdrawalManagement.a69
固定金額,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a70
比例,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a71
手續費,手续费,Handling Fee,,ค่าธรรมเนียม,,3,手数料,,3,수수료,,4,Phí thực hiện,,6,depositWithdrawalManagement.a72
開放之用戶層級,,,,,,8,,,7,,,9,,,15,depositWithdrawalManagement.a76
顯示名稱,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a77
單筆最小額度,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a78
單筆最大額度,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a79
沒有你想要的支付方式?,,,,,,12,,,11,,,15,,,24,depositWithdrawalManagement.a80
通道名稱,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a81
通道代碼,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a82
接口域名,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a83
出金設定,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a84
出金次數＆手續費設定,,,,,,11,,,10,,,14,,,22,depositWithdrawalManagement.a85
出金通道設定,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a87
出金次數,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a88
單筆最高取款金額,,,,,,9,,,8,,,11,,,18,depositWithdrawalManagement.a92
出金時間,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a93
時間,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a95
低於,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a96
公司帳戶設定,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a97
帳戶列表,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a98
順位,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a99
帳戶名稱,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a100
帳戶,,,,,,2,,,2,,,2,,,4,depositWithdrawalManagement.a101
修改公司帳戶,,,,,,7,,,6,,,8,,,13,depositWithdrawalManagement.a103
帳號順位,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a104
帳戶號碼,,,,,,4,,,4,,,5,,,9,depositWithdrawalManagement.a105
頻繁交易,,,,,,4,,,4,,,5,,,9,riskWarning.frequentTransactions
盈利異常,,,,,,4,,,4,,,5,,,9,riskWarning.abnormalProfit
同IP帳號,,,,,,5,,,5,,,7,,,11,riskWarning.sameIP
風險警告設定,,,,,,7,,,6,,,8,,,13,riskWarning.riskWarningSettings
手機,,,,,,2,,,2,,,2,,,4,riskWarning.phone
商品名稱,,,,,,4,,,4,,,5,,,9,riskWarning.productName
間隔秒數,,,,,,4,,,4,,,5,,,9,riskWarning.intervalSeconds
查看詳情,,,,,,4,,,4,,,5,,,9,riskWarning.checkDetails
已成功封鎖該用戶,,,,,,9,,,8,,,11,,,18,riskWarning.blockUserSuccess
"確定要封鎖該用戶嗎？

封鎖用戶後，該用戶將無法登入、並進行交易，直到您再次解除封鎖。",,,,,,48,,,41,,,57,,,92,riskWarning.blockUserTip
總盈利金額,,,,,,5,,,5,,,7,,,11,riskWarning.totalProfit
總交易筆數,,,,,,5,,,5,,,7,,,11,riskWarning.totalTradeCount
盈利交易佔比,,,,,,7,,,6,,,8,,,13,riskWarning.profitTradePercent
最新平倉時間,,,,,,7,,,6,,,8,,,13,riskWarning.latestClosingTime
頻繁交易通知,,,,,,7,,,6,,,8,,,13,riskWarning.frequentTransactionNotifications
盈利異常通知,,,,,,7,,,6,,,8,,,13,riskWarning.profitAbnormalNotice
同IP帳號通知,,,,,,8,,,7,,,9,,,15,riskWarning.sameIpNotification
當使用者於開倉後{second}秒內平倉,,,,,,14 + ?,,,12 + ?,,,16 + ?,,,27 + ?,riskWarning.userOpenPositionClosed
總盈利金額大於{value},,,,,,8 + ?,,,7 + ?,,,9 + ?,,,15 + ?,riskWarning.totalProfitMore
且,,,,,,1,,,1,,,1,,,2,riskWarning.and
或,,,,,,1,,,1,,,1,,,2,riskWarning.or
盈利筆數佔比大於{percent}%,,,,,,10 + ?,,,9 + ?,,,12 + ?,,,20 + ?,riskWarning.a1
同一IP擁有{count}個帳號,,,,,,10 + ?,,,9 + ?,,,12 + ?,,,20 + ?,riskWarning.ownedSameIP
參數管理,,,,,,4,,,4,,,5,,,9,paramManagement.title
成就階級任務,,,,,,7,,,6,,,8,,,13,paramManagement.achievement
活動設定,,,,,,4,,,4,,,5,,,9,paramManagement.eventSettings
保證金設定,,,,,,5,,,5,,,7,,,11,paramManagement.marginSetting
達到強制平倉額度的,,,,,,10,,,9,,,12,,,20,paramManagement.forcedLiquidationLimit
收盤前檢查時間,,,,,,8,,,7,,,9,,,15,paramManagement.closeCheckTime
分鐘,,,,,,2,,,2,,,2,,,4,paramManagement.minute
"備註：
1.當帳戶餘額低於保證金，將會強制平倉。強制平倉通知相關設定，請前往通知設定查看。

2.如欲設定不同層級用戶的保證金額度比例，請前往用戶層級調整。",,,,,,86,,,73,,,102,,,164,paramManagement.forcedLiquidationSettingsRemark
匯率設定,,,,,,4,,,4,,,5,,,9,paramManagement.exchangeRateSetting
貨幣名稱,,,,,,4,,,4,,,5,,,9,paramManagement.currencyName
貨幣兌,,,,,,3,,,3,,,4,,,6,paramManagement.currencyPair
取款兌換率,,,,,,5,,,5,,,7,,,11,paramManagement.withdrawalExchangeRate
存款兌換率,,,,,,5,,,5,,,7,,,11,paramManagement.depositExchangeRate
建立時間,,,,,,4,,,4,,,5,,,9,paramManagement.createdTime
最後更新時間,,,,,,7,,,6,,,8,,,13,paramManagement.lastUpdateTime
貨幣,,,,,,2,,,2,,,2,,,4,paramManagement.currency
欲兌換貨幣,,,,,,5,,,5,,,7,,,11,paramManagement.wantExchangeCurrency
上次發布時間,,,,,,7,,,6,,,8,,,13,common.lastPublishedTime
發布,,,,,,2,,,2,,,2,,,4,common.release
登出,登出,Log out,,ออกจากระบบ,,2,サインアウト,,2,로그 아웃하십시오,,2,Đăng xuất,,4,common.logout
全部關閉,,,,,,4,,,4,,,5,,,9,common.cancelAll
新增,新增,Add,,เพิ่ม,,2,新しく増加します,,2,새로 증가합니다,,2,Thêm mới,,4,common.add
編輯,编辑,Edit,,แก้ไข,,2,編集,,2,편집하다,,2,Biên tập,,4,common.edit
刪除,删除,Delete,,ลบ,,2,消去,,2,삭제,,2,Xóa bỏ,,4,common.delete
儲存,储存,Save,,บันทึก,,2,お店,,2,가게,,2,Lưu,,4,common.save
取消,取消,Cancel,,ยกเลิก,,2,キャンセル,,2,취소,,2,Hủy bỏ,,4,common.cancel
共{count}筆,,,,,,2 + ?,,,2 + ?,,,2 + ?,,,4 + ?,common.totalCount
{count}筆/頁,,,,,,3 + ?,,,3 + ?,,,4 + ?,,,6 + ?,common.pageCount
前往,,,,,,2,,,2,,,2,,,4,common.go
頁,,,,,,1,,,1,,,1,,,2,common.page
欄位為必填,,,,,,5,,,5,,,7,,,11,common.requiredField
必填欄位,,,,,,4,,,4,,,5,,,9,common.requiredField2
全選,全选,Select All,,เลือกทั้งหมด,,2,すべて選択,,2,모두를 선택하십시오,,2,Chọn toàn bộ,,4,common.selectAll
修改成功,修改成功,Modified successfully,,แก้ไขเรียบร้อยแล้ว,,4,正常に変更されました,,4,성공적으로 수정되었습니다,,5,Sửa đổi thành công,,9,common.modifySuccess
新增成功,新增成功,Added successfully,,เพิ่มเรียบร้อยแล้ว,,4,正常に追加されました,,4,성공적으로 추가되었습니다,,5,Thêm mới thành công,,9,common.addSuccess
刪除成功,删除成功,Deleted successfully,,ลบเรียบร้อยแล้ว,,4,削除されました,,4,성공적으로 삭제되었습니다,,5,Xóa thành công,,9,common.deleteSuccess